|metroId|metropolitanAreas|lat|long|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
11|AUS06|Gold Coast|-28.002373100000003|153.4145987|169.0|314.0|137.0|8.5|303.0|5.7|2.3|2.4|2.5|0.16854535695115405|24.5|0.002664189640692562|3.9738821937527464e-05|0.7601020236556847
13|AUS08|Newcastle|54.97384739999999|-1.6131572|115.0|284.0|137.0|8.2|284.0|7.4|1.9|1.9|2.2|0.17963314358001264|34.7|0.0022609145582044767|3.3723605734423465e-05|0.6450463228124732
14|AUS10|Wollongong|-34.4243941|150.89385|24.0|127.0|52.0|7.5|669.0|6.6|1.2|1.2|1.4|0.3038277511961722|44.5|0.000597762356312126|8.916171535097413e-06|0.17054355656901565
15|AUS11|Sunshine Coast|-26.5443222|153.0507705|176.0|131.0|44.0|8.8|374.0|5.3|1.0|1.0|1.3|0.20404984423676012|36.5|0.0009180943367281937|1.3694215611321863e-05|0.26193531894092836
16|AUS14|Geelong|-38.1492813|144.3598269|99.0|167.0|85.0|7.3|61.0|7.9|1.1|1.1|1.4|0.03764652840396754|2.2|0.006343717255025338|9.46223371523735e-05|1.8098832941151997
29|CAN08|Winnipeg|49.8955367|-97.1384584|11.0|301.0|220.0|3.4|62.0|6.3|2.5|2.4|2.2|0.022070684851151195|1.3|1.9043882768889964|0.017173910512306285|2.1826697387962164
30|CAN09|Hamilton|43.2560802|-79.8728583|4.0|285.0|193.0|0.6|220.0|9.3|1.8|1.8|1.9|0.09906152241918666|17.7|1.9043882768889964|0.017173910512306285|2.1826697387962164
31|CAN10|London|51.5073219|-0.1276474|5.0|227.0|131.0|3.7|102.0|8.8|1.6|1.6|1.6|0.0410711054821784|4.7|1.9043882768889964|0.017173910512306285|2.1826697387962164
32|CAN11|Kitchener|43.451291|-80.49278149999999|1.0|194.0|150.0|1.8|220.0|8.7|1.7|1.6|1.4|0.07587016034415331|10.4|1.9043882768889964|0.017173910512306285|2.1826697387962164
33|CAN12|Halifax|44.648618|-63.58594870000001|1.0|115.0|97.0|3.0|45.0|5.8|1.2|1.3|1.2|0.011119706052987817|84.1|1.9043882768889964|0.017173910512306285|2.1826697387962164
34|CAN13|Victoria|-36.5986096|144.6780052|0.0|141.0|68.0|5.4|358.0|5.8|0.9|1.1|1.3|0.13031423290203328|27.2|1.9043882768889964|0.017173910512306285|2.1826697387962164
35|CAN14|Windsor|51.48375775|-0.6040964041849046|7.0|204.0|91.0|1.9|242.0|9.9|1.1|1.1|1.1|0.13076923076923078|6.2|1.9043882768889964|0.017173910512306285|2.1826697387962164
36|CAN15|Saskatoon|52.131802|-106.66076699999999|13.0|51.0|47.0|4.9|74.0|9.5|0.9|0.8|0.6|0.01327779224160375|0.5|1.9043882768889964|0.017173910512306285|2.1826697387962164
37|CAN16|Sherbrooke|45.403271000000004|-71.889038|4.0|89.0|50.0|16.0|52.0|6.9|0.7|0.7|0.8|0.018012548067192876|33.9|1.9043882768889964|0.017173910512306285|2.1826697387962164
44|CL006|Coquimbo-La Serena|-29.902631|-71.2520253|3.0|17.0|17.0|0.7|117.0|13.9|2.6|2.5|2.4|0.004412146379444588|0.2|1.9043882768889964|0.017173910512306285|2.1826697387962164
47|CL014|Rancagua|-34.170249|-70.7407427|5.0|26.0|16.0|1.4|113.0|30.6|2.0|2.0|1.7|0.008373590982286634|33.8|1.9043882768889964|0.017173910512306285|2.1826697387962164
48|CL017|Talca|-35.4266305|-71.66611529999999|26.0|14.0|12.0|0.7|585.0|24.6|1.5|1.6|1.4|0.029535864978902954|8.6|1.9043882768889964|0.017173910512306285|2.1826697387962164
51|CL023|Valdivia|-39.814126200000004|-73.24598590000001|0.0|13.0|13.0|0.3|293.0|32.0|1.6|1.7|1.7|0.012757605495583905|80.4|1.9043882768889964|0.017173910512306285|2.1826697387962164
61|COL09|Ibague|4.4446595|-75.2430012|272.0|11.0|11.0|0.2|396.0|26.7|1.1|1.2|1.4|0.007936507936507936|67.4|1.9043882768889964|0.017173910512306285|2.1826697387962164
63|COL11|Santa Marta|17.0920157|-88.6118965|369.0|41.0|41.0|0.2|202.0|19.0|1.1|1.0|0.8|0.01735817104149026|82.1|1.9043882768889964|0.017173910512306285|2.1826697387962164
64|COL12|Pasto|1.2146013|-77.2782755|0.0|17.0|17.0|0.2|360.0|14.5|0.8|1.0|0.9|0.014096185737976783|65.7|1.9043882768889964|0.017173910512306285|2.1826697387962164
66|COL14|Villavicencio|4.1315113|-73.6206667|611.0|17.0|17.0|0.2|359.0|34.3|1.0|1.0|0.8|0.012869038607115822|20.7|1.9043882768889964|0.017173910512306285|2.1826697387962164
70|COL18|Neiva|2.9263127|-75.2891733|321.0|14.0|14.0|0.3|275.0|21.6|0.7|0.7|0.7|0.01131770412287793|35.2|1.9043882768889964|0.017173910512306285|2.1826697387962164
71|COL19|Palmira|3.5308373|-76.2988048|220.0|18.0|18.0|0.3|299.0|15.6|0.5|0.7|0.8|0.017769002961500493|33.0|1.9043882768889964|0.017173910512306285|2.1826697387962164
72|COL20|Popayan|2.4422295|-76.6072368|0.0|14.0|14.0|0.4|566.0|13.0|0.5|0.6|0.6|0.02880658436213992|43.6|1.9043882768889964|0.017173910512306285|2.1826697387962164
82|DE004|Cologne|50.938361|6.959974000000001|8.0|500.0|273.0|1.0|1187.0|14.2|2.4|2.4|2.2|0.3076923076923077|20.6|0.8395693800446504|0.005772244585336882|0.7488264926441124
85|DE008|Leipzig|51.3406321|12.3747329|24.0|365.0|126.0|6.6|248.0|15.2|1.1|1.2|1.3|0.0918932527693857|10.3|2.0521658938691396|0.014109141841820367|1.8303623561737936
87|DE011|Dusseldorf|51.2254018|6.7763137|9.0|392.0|157.0|1.3|1265.0|14.5|1.9|1.9|1.9|0.32666666666666666|10.7|0.6199896960329726|0.004262580616864159|0.5529795637987291
88|DE012|Bremen|53.0758196|8.8071646|8.0|384.0|126.0|10.3|210.0|12.8|1.5|1.5|1.5|0.06526172671651938|6.8|3.0400161428816763|0.020900853624690595|2.7114431278264357
89|DE013|Hanover|52.374477899999995|9.738553199999998|15.0|391.0|115.0|4.6|429.0|12.6|1.6|1.6|1.6|0.1316941731222634|16.6|1.5339578396015798|0.010546334876224741|1.368163604098689
90|DE014|Nuremberg|49.453872|11.077297999999999|11.0|354.0|157.0|8.9|443.0|13.3|1.6|1.6|1.6|0.12077789150460594|22.8|1.5143248325605356|0.010411353156690709|1.350652584578396
91|DE017|Bielefeld|52.0191005|8.531007|12.0|82.0|82.0|0.3|1263.0|13.2|0.4|0.4|0.4|0.3166023166023166|20.2|0.1338144427271166|0.0009200069831398478|0.11935142251989238
92|DE018|Halle an der Saale|51.7646985|11.6957483|17.0|182.0|58.0|5.0|266.0|14.8|0.5|0.5|0.6|0.1156289707750953|10.2|0.8132198179632492|0.0055910849091201555|0.7253248611826665
93|DE019|Magdeburg|52.1315889|11.6399609|17.0|224.0|67.0|8.9|119.0|14.9|0.5|0.6|0.7|0.05384615384615385|7.1|2.1492976129143053|0.01477694613846242|1.9169958211689277
94|DE020|Wiesbaden|50.082038399999995|8.2416556|9.0|115.0|59.0|4.0|447.0|11.8|0.6|0.6|0.6|0.11330049261083744|30.4|0.5244079512278894|0.0036054327717642684|0.4677285477130918
95|DE021|Gottingen|51.5328328|9.9351811|10.0|149.0|27.0|12.7|151.0|10.7|0.5|0.6|0.6|0.04933774834437086|31.8|1.5603074016829814|0.010727494552441468|1.3916652355601353
96|DE025|Darmstadt|49.872775|8.651177|12.0|148.0|40.0|5.5|558.0|12.6|0.6|0.6|0.5|0.18974358974358974|51.6|0.4029933024214322|0.0027706774009617035|0.35943671646917397
97|DE026|Trier|49.7596208|6.6441878|3.0|108.0|31.0|41.7|206.0|11.7|0.3|0.3|0.3|0.08852459016393442|45.2|0.6303228576335221|0.004333623627145229|0.5621958898620413
98|DE027|Freiburg im Breisgau|47.9960901|7.849400500000001|5.0|167.0|37.0|11.9|284.0|11.0|0.8|0.8|0.7|0.0755656108597285|48.9|1.1418143568607246|0.00785025263605816|1.0184040299959929
99|DE028|Regensburg|49.0195333|12.0974869|6.0|162.0|38.0|16.5|174.0|14.7|0.6|0.6|0.5|0.06390532544378698|2.2|1.309728232869655|0.009004701553125537|1.1681693285248154
101|DE032|Erfurt|50.9777974|11.0287364|7.0|229.0|69.0|28.1|182.0|12.5|0.6|0.6|0.7|0.08026638626007711|7.2|1.4740255023183924|0.010134285416594538|1.3147089129314786
102|DE033|Augsburg|48.3668041|10.8986971|3.0|197.0|52.0|11.1|324.0|13.3|0.8|0.8|0.8|0.09869739478957916|27.0|1.0312495277348446|0.007090092426050718|0.9197893411185528
103|DE034|Bonn|50.735851000000004|7.10066|10.0|267.0|82.0|2.2|692.0|11.9|1.2|1.1|1.0|0.206656346749226|29.7|0.6675222393955006|0.004589378464157078|0.5953746636899651
104|DE035|Karlsruhe|49.006870500000005|8.4034195|15.0|250.0|74.0|4.5|579.0|12.3|0.9|0.9|0.8|0.19888623707239458|31.0|0.6494392065945389|0.004465053196165207|0.5792460930791689
105|DE036|Monchengladbach|51.19469829999999|6.435364099999999|10.0|68.0|68.0|0.4|1496.0|13.4|0.3|0.3|0.3|0.4|8.0|0.08783187360467112|0.0006038655873890892|0.0783387715381533
106|DE037|Mainz|50.0012314|8.276251299999998|9.0|138.0|44.0|16.3|585.0|12.0|0.5|0.5|0.4|0.19630156472261737|3.5|0.3632106302593165|0.0024971618113795867|0.3239538611254222
108|DE039|Kiel|54.3227085|10.135555|1.0|149.0|40.0|39.7|188.0|13.0|0.8|0.8|0.8|0.04438486744116771|14.4|1.734421174652241|0.011924569275677485|1.5469603297269447
109|DE040|Saarbrucken|49.234362|6.996378999999999|4.0|312.0|50.0|4.6|520.0|11.6|0.9|1.0|1.1|0.203125|53.7|0.793586810922205|0.005456103189586124|0.7078138416623733
110|DE042|Koblenz|50.3533278|7.5943951|5.0|150.0|36.0|27.7|345.0|11.6|0.4|0.4|0.4|0.16286644951140064|36.1|0.4758420917053065|0.0032715306234432423|0.4244118152155246
111|DE043|Rostock|54.09244449999999|12.1286127|7.0|107.0|40.0|28.9|115.0|13.0|0.5|0.5|0.5|0.02979671400724032|33.5|1.8553191653786705|0.012755772495965996|1.654791344667697
113|DE045|Iserlohn|51.3746778|7.6999713000000005|4.0|124.0|25.0|3.6|393.0|13.9|0.5|0.5|0.5|0.1169811320754717|43.5|0.5476575648291259|0.003765279544896674|0.4884652813555441
115|DE054|Constance|47.659216|9.175071800000001|2.0|82.0|12.0|9.2|332.0|11.7|0.3|0.3|0.3|0.1003671970624235|39.0|0.42210965138244894|0.002902106969981682|0.3764869196863015
116|DE057|Giessen|50.5862066|8.6742306|10.0|92.0|24.0|7.1|298.0|13.8|0.3|0.3|0.3|0.10772833723653395|27.7|0.44122600034346554|0.00303353653900166|0.3935371229034289
117|DE061|Aschaffenburg|49.974054200000005|9.1493636|9.0|136.0|20.0|20.9|250.0|11.9|0.5|0.5|0.4|0.09220338983050848|37.0|0.7620706680405289|0.005239422008228863|0.6797040471692714
119|DE069|Rosenheim|47.853927299999995|12.127262|2.0|94.0|13.0|15.8|210.0|12.4|0.4|0.4|0.4|0.06368563685636856|13.8|0.7625873261205564|0.0052429741587429165|0.6801648634724369
120|DE073|Offenburg|48.471655600000005|7.9443779999999995|8.0|172.0|19.0|12.6|222.0|11.7|0.5|0.5|0.5|0.09257265877287406|30.5|0.9599507126910527|0.00659989565511134|0.856196691281699
121|DE074|Gorlitz|51.1563185|14.991017999999999|36.0|92.0|13.0|20.6|124.0|15.1|0.3|0.3|0.4|0.04364326375711575|7.1|1.0891152326979219|0.007487933283624707|0.9714007670731009
122|DE077|Schweinfurt|50.049994500000004|10.233302|8.0|133.0|16.0|28.4|133.0|11.8|0.3|0.3|0.4|0.06610337972166998|21.2|1.0395160570152842|0.0071469268342755745|0.9271624019692026
123|DE079|Wetzlar|50.5525346|8.5074406|4.0|105.0|20.0|9.2|236.0|14.6|0.3|0.3|0.3|0.09868421052631579|32.7|0.5497241971492358|0.003779488146952888|0.49030854656820655
124|DE084|Mannheim-Ludwigshafen|49.4808261|8.4565021|11.0|495.0|188.0|8.8|563.0|13.1|1.4|1.4|1.4|0.24240940254652302|9.7|1.0550157994161085|0.007253491349697178|0.9409868910641709
125|DE504|Muenster|51.9625101|7.6251879|10.0|164.0|74.0|2.3|363.0|13.7|0.6|0.7|0.5|0.11598302687411598|11.1|0.7305545251588528|0.005022740826871601|0.6515942526761692
126|DE507|Aachen|50.776351|6.083862|3.0|138.0|47.0|1.8|769.0|9.7|0.7|0.7|0.6|0.1954674220963173|22.2|0.3647606044993989|0.002507818262921747|0.325336310034919
127|DE510|Lubeck|53.866443999999994|10.684738000000001|3.0|120.0|52.0|9.0|257.0|12.3|0.5|0.5|0.6|0.07523510971786834|18.7|0.8240696376438262|0.005665680069915279|0.7350020035491442
128|DE513|Kassel|51.3154546|9.492409599999998|11.0|125.0|45.0|7.2|306.0|12.8|0.5|0.5|0.6|0.08941344778254649|31.5|0.7222879958784131|0.004965906418646746|0.6442211918255194
129|DE517|Osnabruck|52.266837|8.049741000000001|7.0|153.0|44.0|6.9|226.0|12.6|0.7|0.6|0.6|0.06839517210549843|14.4|1.1557641250214665|0.007946160699937605|1.0308460701814643
130|DE520|Oldenburg (Oldenburg)|48.1090631|13.714611300000001|7.0|150.0|43.0|5.4|213.0|13.5|0.5|0.5|0.5|0.079155672823219|4.7|0.9790670616520692|0.006731325224131318|0.8732468944988264
131|DE522|Heidelberg|49.40935820000001|8.694724|11.0|225.0|33.0|8.0|585.0|12.5|0.8|0.9|0.8|0.1924721984602224|47.4|0.6039732955521209|0.004152463950928502|0.5386942584005954
132|DE523|Paderborn|51.71895955|8.764869778177559|10.0|96.0|44.0|3.4|239.0|13.2|0.4|0.4|0.3|0.07710843373493977|15.4|0.6432393096342092|0.004422427389996566|0.5737162974411816
133|DE524|Wurzburg|49.79245|9.932966|9.0|248.0|35.0|27.7|163.0|13.9|0.6|0.6|0.6|0.08112528622832843|16.0|1.5794237506439979|0.010858924121461446|1.4087154387772625
134|DE527|Bremerhaven|53.552226399999995|8.5865509|4.0|89.0|27.0|16.6|144.0|12.9|0.4|0.4|0.4|0.04174484052532833|8.3|1.1015150266185814|0.0075731848959619905|0.9824603583490755
135|DE529|Heilbronn|49.142291|9.218655|9.0|165.0|31.0|10.6|370.0|14.2|0.6|0.6|0.5|0.13772954924874792|14.7|0.6189563798729176|0.004255476315836052|0.552057931192398
136|DE532|Ulm|48.397400299999994|9.9934336|2.0|175.0|49.0|16.2|238.0|13.8|0.6|0.6|0.5|0.08789552988448016|17.6|1.028666237334707|0.007072331673480451|0.9174852596027249
137|DE533|Pforzheim|48.8908846|8.7029532|13.0|87.0|22.0|9.3|463.0|11.5|0.4|0.4|0.4|0.12965722801788376|57.0|0.3466775716984372|0.0023834929949298755|0.3092077394241227
138|DE534|Ingolstadt|48.7630165|11.4250395|4.0|180.0|37.0|14.8|164.0|13.5|0.6|0.6|0.5|0.06324666198172874|12.8|1.4704088957582002|0.010109420362996165|1.3114831988093194
139|DE537|Reutlingen|48.4919508|9.2114144|3.0|77.0|26.0|9.8|253.0|12.1|0.4|0.3|0.3|0.07057745187901009|30.1|0.5636739653099776|0.0038753962108323318|0.5027505867536779
140|DE540|Siegen|50.8749804|8.0227233|4.0|157.0|29.0|32.2|228.0|10.6|0.5|0.5|0.5|0.08855047941342357|63.5|0.9160347758887172|0.006297962861416795|0.8170273055126224
141|DE542|Hildesheim|52.1521636|9.9513046|12.0|97.0|27.0|14.6|228.0|12.3|0.3|0.3|0.4|0.08043117744610281|19.7|0.6230896445131375|0.0042838935199484805|0.5557444616177228
142|DE544|Zwickau|50.71850429999999|12.4939267|13.0|100.0|27.0|10.1|344.0|12.6|0.4|0.4|0.5|0.10548523206751055|9.5|0.48979185986604845|0.003367438687322686|0.4368538554009961
144|DE548|Duren, Stadt|50.8014485|6.479250091636852|5.0|121.0|27.0|5.8|273.0|11.4|0.3|0.3|0.3|0.1288604898828541|8.1|0.48514193714580117|0.003335469332696205|0.4327065086725056
145|DE549|Bocholt, Stadt|51.83838040000001|6.620604507156488|7.0|151.0|25.0|4.7|256.0|12.8|0.5|0.5|0.4|0.10641296687808316|3.1|0.7331378155589902|0.005040501579441869|0.6538983341919973
157|ES005|Saragossa|41.6521342|-0.8809428|192.0|78.0|57.0|3.4|273.0|10.7|1.6|1.6|1.8|0.028219971056439943|2.7|0.7302751388566692|0.004183640778946618|1.252825727420525
158|ES006|Malaga|36.7213028|-4.421636599999999|228.0|114.0|84.0|2.0|558.0|11.1|2.0|1.9|1.6|0.07480314960629922|14.1|0.4026553225823314|0.002306754177682578|0.6907765588237628
159|ES007|Murcia|37.9923795|-1.1305431000000001|443.0|41.0|24.0|1.3|515.0|12.8|1.5|1.3|1.1|0.03413821815154038|13.6|0.31731564463345135|0.001817855490417832|0.544371815713477
161|ES009|Valladolid|41.6521328|-4.728562|65.0|75.0|39.0|5.6|368.0|10.4|0.8|0.9|1.0|0.06482281763180639|13.7|0.30569042534629753|0.0017512562884374953|0.5244281355374629
162|ES010|Palma de Mallorca|39.569581799999995|2.6500745|271.0|90.0|44.0|4.9|331.0|8.9|1.5|1.5|1.2|0.04455445544554455|13.9|0.5337032490920665|0.003057508818188194|0.9155962262624676
163|ES012|Vitoria|42.8465088|-2.6724025|5.0|63.0|38.0|7.1|168.0|8.3|0.6|0.6|0.6|0.039399624765478425|24.2|0.42247103727634366|0.0024202755446945156|0.7247714682146958
164|ES013|Oviedo|43.3605977|-5.8448989000000005|1.0|55.0|22.0|3.2|337.0|11.5|0.5|0.7|0.9|0.058886509635974305|42.8|0.24677170032276738|0.0014137194238553333|0.4233499382817549
165|ES014|Pamplona|42.81845379999999|-1.6442556000000002|9.0|59.0|14.0|13.8|222.0|8.5|0.8|0.8|0.8|0.03486997635933806|0.6|0.4470425234969191|0.002561042039789319|0.7669251558594531
166|ES015|Santander|43.4620412|-3.8099719|3.0|94.0|29.0|5.5|489.0|10.8|0.8|0.9|1.0|0.10942956926658906|10.5|0.226955985628755|0.0013001980568433952|0.38935502889082163
168|ES020|Cordoba|37.884581299999994|-4.7760138|458.0|43.0|35.0|2.2|193.0|11.4|0.8|0.8|0.8|0.022970085470085472|17.1|0.4946002387625487|0.0028334933206179695|0.8485129383976928
169|ES021|Alicante|38.353738|-0.49018459999999997|200.0|77.0|57.0|1.1|1303.0|10.4|1.0|1.0|1.0|0.21690140845070421|1.1|0.09379438288499188|0.0005373344705231727|0.1609092377837505
170|ES022|Vigo|42.2376602|-8.7247205|6.0|183.0|49.0|3.9|404.0|9.8|1.0|1.2|1.3|0.1356560415122313|28.2|0.35641865496296915|0.0020418709879880563|0.611455103578252
171|ES023|Gijon|43.5450394|-5.6626443|2.0|53.0|39.0|1.0|574.0|11.9|2.806379585326946|2.8395534290271063|2.652950558213709|0.10095238095238095|22.4|0.1387100028580866|0.0007946495690835652|0.23796436573653246
172|ES025|Santa Cruz de Tenerife|28.469648|-16.2540884|0.0|14.0|10.0|2.6|771.0|6.7|1.0|1.1|0.9|0.021341463414634148|28.1|0.17332145119029488|0.0009929335567977501|0.2973421408060291
173|ES026|Coruna (A)|43.493523100000004|-8.214238499999999|0.0|122.0|24.0|2.9|554.0|11.7|0.7|0.9|1.1|0.16331994645247658|15.8|0.1973645183523632|0.0011306728154389014|0.3385892975336947
174|ES501|Granada|37.183054|-3.6021928|105.0|84.0|16.0|8.0|346.0|14.5|1.3|1.2|1.1|0.051756007393715345|15.6|0.4288120659784277|0.002456602382138336|0.7356498392197947
175|ES505|Elche/Elx|38.2653307|-0.6988390999999999|385.0|53.0|45.0|0.8|674.0|12.2|2.806379585326946|2.8395534290271063|2.652950558213709|0.13730569948186527|1.2|0.10198487829185032|0.0005842566355547736|0.17496046699866954
176|ES510|Donostia-San Sebastian|43.322421899999995|-1.9838889|2.0|40.0|18.0|3.9|1015.0|8.1|0.7|0.7|0.8|0.12084592145015106|39.8|0.08745335418290792|0.0005010076330793525|0.15003086677865188
177|ES532|Algeciras|36.1311725|-5.447399099999999|138.0|25.0|19.0|1.1|611.0|12.1|2.806379585326946|2.8395534290271063|2.652950558213709|0.05813953488372093|31.8|0.11361009757900424|0.0006508558375351106|0.1949041471746837
178|ES533|Marbella|36.508976000000004|-4.885619999999999|152.0|52.0|31.0|2.6|447.0|9.0|2.806379585326946|2.8395534290271063|2.652950558213709|0.0755813953488372|19.4|0.1817761561264068|0.001041369340056177|0.3118466354794939
188|FR008|Nantes|47.2186371|-1.5541361999999999|7.0|283.0|89.0|12.2|275.0|11.5|1.5|1.4|1.3|0.08238719068413392|2.7|1.0818966792498315|0.004647472364699017|1.99069616313918
189|FR009|Lille|50.636565399999995|3.0635282000000004|7.0|391.0|170.0|13.5|892.0|15.2|2.5|2.3|1.9|0.23232323232323232|1.0|0.5300821284359436|0.0022770585123110467|0.9753541899747423
190|FR010|Montpellier|43.6112422|3.8767337|52.0|195.0|46.0|21.1|309.0|12.4|0.9|1.0|1.1|0.08748317631224764|0.9|0.7020517316005458|0.003015783377267572|1.2917792569540707
191|FR011|Saint-Etienne|45.4401467|4.3873058|0.0|172.0|35.0|20.6|303.0|11.5|0.7|0.7|0.8|0.1085173501577287|30.9|0.4992157894063997|0.0021444668698829524|0.9185599471835809
